GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC01_EST_VC39,HC01_MOE_VC39,HC02_EST_VC39,HC02_MOE_VC39,HC01_EST_VC40,HC01_MOE_VC40,HC02_EST_VC40,HC02_MOE_VC40,HC01_EST_VC41,HC01_MOE_VC41,HC02_EST_VC41,HC02_MOE_VC41
0400000US01,01,Alabama,1838683,5863,43253,241,71.5,0.1,49606,321,25.2,0.1,28750,493,0.5,0.1,37207,2883,1.0,0.1,57096,5297,0.0,0.1,53875,36367,0.7,0.1,35281,2669,1.0,0.1,34459,1924,2.5,0.1,35781,1409,69.9,0.1,49982,304,4.5,0.1,20151,663,32.1,0.1,47774,613,39.7,0.1,52120,409,23.7,0.1,32520,324,1241686,5996,54362,349,41.4,0.3,51254,619,58.6,0.3,56316,406,71.1,0.3,67834,470,22.6,0.2,24982,389,6.2,0.1,38636,1033,596997,4573,24332,289,54.6,0.4,20862,249,49.2,0.5,19708,266,5.4,0.2,37359,1424,45.4,0.4,30005,543,38.2,0.4,27151,440,7.2,0.3,43856,1491,29.3,,,,29.9,,,,26.9,,,
0400000US02,02,Alaska,251899,1331,70760,732,75.0,0.4,77087,745,3.5,0.2,57260,4779,11.4,0.3,44964,1666,3.6,0.2,66374,3591,0.7,0.1,55694,9403,1.0,0.1,56944,7984,4.8,0.3,51907,3224,4.5,0.2,63272,6883,72.3,0.4,77265,732,5.5,0.3,42376,1577,36.8,0.4,73194,1575,43.4,0.4,81859,1166,14.2,0.2,49637,1824,169367,1630,82870,958,49.5,0.6,75980,1388,50.5,0.6,90937,1586,74.7,0.6,95963,901,16.9,0.5,38988,1758,8.4,0.5,56945,2979,82532,1286,44200,800,44.3,1.0,40709,1178,35.0,1.0,34215,997,9.3,0.7,70994,4245,55.7,1.0,48177,1509,42.6,1.1,41770,1298,13.1,0.9,77401,4219,24.7,,,,25.2,,,,21.3,,,
0400000US04,04,Arizona,2370289,8769,49774,253,83.9,0.2,51520,254,4.0,0.1,39543,1430,3.2,0.1,31601,823,2.6,0.1,65288,2705,0.1,0.1,44908,4536,4.6,0.1,37031,886,1.7,0.1,45857,1753,21.5,0.1,38327,400,67.9,0.1,55162,357,4.9,0.1,25770,583,33.9,0.1,53480,497,37.2,0.1,59145,469,24.0,0.1,39445,301,1563121,8699,58897,356,44.0,0.3,53418,518,56.0,0.3,62810,420,72.9,0.3,70523,440,19.1,0.2,31741,432,8.0,0.2,41322,815,807168,4863,32315,261,51.4,0.3,29492,388,42.3,0.4,26147,337,9.0,0.2,51535,1392,48.6,0.3,36253,517,37.3,0.4,31404,463,11.3,0.3,55931,1271,29.6,,,,30.0,,,,27.0,,,
0400000US05,05,Arkansas,1129723,4304,40768,330,80.7,0.1,43983,325,14.7,0.1,26255,506,0.6,0.1,40821,5110,1.0,0.1,53518,2757,0.1,0.1,30053,12605,1.4,0.1,33532,1735,1.4,0.1,33194,2144,4.3,0.1,33169,982,78.0,0.1,44482,337,5.4,0.1,21566,833,32.6,0.2,45041,631,38.0,0.2,48521,498,24.0,0.1,31238,418,762881,4903,50759,417,42.2,0.4,46388,876,57.8,0.4,53318,484,73.5,0.4,60778,446,19.8,0.3,24042,458,6.6,0.2,35065,1131,366842,3575,23120,295,53.5,0.5,20494,363,47.2,0.5,19020,347,6.3,0.3,36103,1941,46.5,0.5,26719,434,38.0,0.5,24213,643,8.5,0.3,42076,1593,27.7,,,,28.3,,,,25.1,,,
0400000US06,06,California,12542460,20542,61094,157,67.6,0.1,63894,184,6.5,0.1,43969,421,0.7,0.1,44498,1419,12.5,0.1,76806,372,0.3,0.1,60930,2956,9.4,0.1,44889,283,2.9,0.1,58020,929,27.6,0.1,47082,199,50.9,0.1,71226,256,3.6,0.1,30273,336,36.0,0.1,64092,296,39.9,0.1,73430,327,20.5,0.1,43181,206,8603822,23012,69661,273,47.7,0.1,63246,351,52.3,0.1,74886,251,71.7,0.2,85024,270,19.7,0.1,36763,235,8.6,0.1,48015,478,3938638,10280,40611,178,52.8,0.2,35180,246,42.6,0.2,30322,174,10.1,0.1,64596,707,47.2,0.2,47009,301,34.5,0.1,39807,344,12.7,0.1,71319,736,29.6,,,,30.2,,,,25.6,,,
0400000US08,08,Colorado,1977591,4762,58433,314,87.4,0.1,60820,333,3.7,0.1,40298,1214,0.8,0.1,38858,2126,2.3,0.1,65155,2075,0.1,0.1,55678,7076,3.5,0.1,38495,1243,2.1,0.1,46085,1729,15.2,0.1,41147,578,76.7,0.1,63967,369,5.4,0.1,27323,660,36.8,0.1,62301,505,39.3,0.1,71648,531,18.5,0.1,41471,457,1269436,5728,72687,443,46.4,0.2,68529,853,53.6,0.2,75687,528,77.3,0.3,84486,423,16.0,0.2,34691,666,6.8,0.2,47121,1139,708155,4264,36615,404,51.2,0.3,32811,477,41.7,0.4,29159,480,9.5,0.3,56870,1487,48.8,0.3,41083,630,36.8,0.3,35596,597,12.0,0.3,61248,1691,24.5,,,,24.6,,,,22.8,,,
0400000US09,09,Connecticut,1355849,3506,69461,411,81.7,0.2,75255,422,9.4,0.1,42208,1161,0.2,0.1,51786,9297,3.2,0.1,86929,2236,0.0,0.1,50885,17420,4.0,0.1,35022,1234,1.5,0.1,50923,2184,10.7,0.1,39852,1089,75.7,0.1,77900,499,2.5,0.1,30838,1714,31.3,0.2,73531,880,42.7,0.2,87267,727,23.4,0.1,42928,579,903577,4166,87245,550,45.1,0.2,86582,898,54.9,0.2,87750,696,74.1,0.3,104603,625,19.5,0.3,39773,766,6.4,0.2,59761,1676,452272,3795,39297,462,55.5,0.4,33111,683,47.6,0.4,28870,542,7.9,0.3,72169,2189,44.5,0.4,46783,711,35.1,0.4,40878,688,9.4,0.3,78080,2633,29.0,,,,29.9,,,,25.8,,,
0400000US10,10,Delaware,335707,1773,59878,714,74.1,0.3,64068,717,19.6,0.3,45945,1300,0.3,0.1,37169,11754,2.9,0.1,88152,6497,0.0,0.1,38355,28472,1.7,0.2,40629,4183,1.4,0.1,46050,4763,5.6,0.2,43919,2078,70.7,0.3,64959,819,3.2,0.2,30989,2118,31.4,0.3,64285,1006,40.7,0.3,72121,1399,24.6,0.2,43033,931,226784,1925,71811,1023,41.5,0.6,68706,1902,58.5,0.6,73709,1258,72.3,0.6,86158,869,20.6,0.5,37215,1393,7.1,0.4,50936,1576,108923,1844,36522,808,55.8,0.7,30542,711,47.4,0.8,27205,693,8.4,0.5,58114,4734,44.2,0.7,44055,1081,33.3,0.9,39185,1480,10.9,0.7,66412,3900,30.2,,,,30.6,,,,27.3,,,
0400000US11,11,District of Columbia,263649,1588,65830,1006,44.6,0.5,108051,1597,46.9,0.4,39699,1010,0.3,0.1,64750,10550,3.6,0.2,80065,4842,0.0,0.1,123868,43397,2.5,0.3,42419,5138,2.1,0.2,70772,10642,7.7,0.3,57068,3616,40.3,0.4,111420,1722,4.9,0.2,31151,2350,43.8,0.4,80115,1458,32.8,0.4,66957,1608,18.5,0.3,45932,1888,112278,1896,79665,2093,41.7,0.9,58367,2363,58.3,0.9,91069,2841,54.0,0.9,140899,2603,37.3,0.9,36532,1496,8.7,0.5,48897,3933,151371,1812,57584,1471,54.5,0.7,53356,1161,44.7,0.8,46422,1562,9.8,0.4,99394,3410,45.5,0.7,64317,1893,34.2,0.7,52003,1679,11.2,0.5,116915,4392,30.1,,,,33.5,,,,26.5,,,
0400000US12,12,Florida,7158980,25790,46956,149,80.8,0.1,49641,171,13.6,0.1,34282,314,0.3,0.1,39477,3159,2.0,0.1,60269,927,0.0,0.1,52808,5992,1.8,0.1,39072,1101,1.4,0.1,42550,1008,18.2,0.1,40629,289,65.3,0.1,51783,171,3.3,0.1,24788,486,29.6,0.1,50693,284,38.7,0.1,55466,339,28.3,0.1,37031,160,4629753,22242,56738,247,39.2,0.2,52319,421,60.8,0.2,59250,228,72.7,0.2,68025,310,20.4,0.2,31506,251,6.9,0.1,40271,485,2529227,10953,30211,135,54.2,0.2,26530,150,46.2,0.2,24028,173,8.0,0.1,48596,711,45.8,0.2,34917,306,35.4,0.2,30653,245,10.4,0.2,53625,722,31.7,,,,31.8,,,,29.9,,,
