Gender,Shift,wg,metmin
F,7am,20,1628
F,8am,18,1707
F,8am,NA,
F,7am,NA,
F,7am,NA,
F,9am,6,2657
M,11am,NA,
M,11am,NA,
F,10am,NA,
M,9am,10,2253
M,10am,NA,
F,7am,10,2190
M,7am,20,1646
F,7am,20,1688
F,other,5,2732
M,9am,5,2824
F,11am,NA,
F,8am,25,1407
F,8am,42,1086
F,8am,15,1790
F,10am,NA,
F,12pm,NA,
F,8am,8,2364
F,8am,30,1194
M,9am,NA,
M,8am,8,2388
F,10am,20,1626
M,11am,8,2298
F,11am,NA,
F,8am,10,2175
F,10am,NA,
F,8am,10,2309
F,8am,10,2212
M,8am,20,1714
F,8am,20,1629
M,8am,20,1541
F,9am,NA,
M,8am,20,1669
F,8am,NA,
M,7am,40,1084
M,7am,20,1678
M,8am,NA,
M,8am,20,1589
M,8am,NA,
F,11am,20,1773
M,7am,10,2184
F,other,5,2822
M,8am,NA,
F,8am,10,2038
F,8am,3,3300
F,10am,8,2319
F,8am,15,1920
F,9am,0,
F,other,25,1666
M,8am,40,1041
F,7am,NA,
F,9am,30,1282
F,9am,NA,
F,9am,15,1911
F,10am,10,2256
F,9am,20,1685
M,8am,20,1687
F,11am,NA,
F,8am,7,2513
M,8am,15,1820
F,10am,31,1289
F,other,51,892
M,10am,5,2893
M,7am,NA,
M,9am,NA,
M,11am,5,2933
F,9am,5,2861
F,8am,NA,
M,8am,20,1655
F,11am,NA,
F,11am,8,2389
M,12pm,NA,
F,9am,20,1687
F,8am,7,2394
M,10am,25,1535
F,10am,5,2886
F,8am,5,2836
F,        ,30,1303
F,9am,5,2897
F,other,5,2873
F,9am,10,2235
M,8am,NA,
F,8am,NA,
M,8am,NA,
F,8am,10,2181
F,9am,NA,
F,12pm,10,2219
F,11am,8,2426
F,8am,10,2152
F,9am,NA,
F,8am,15,1839
M,11am,NA,
F,8am,NA,
M,11am,8,2235
F,8am,NA,
M,10am,NA,
F,2pm     ,15,1888
F,other,2,3812
F,9am,NA,
F,11am,5,2848
F,1pm     ,5,2896
F,9am,NA,
F,10am,10,2273
F,11am,41,1094
M,2pm     ,25,1498
M,2pm     ,NA,
F,2pm     ,10,2209
F,2pm     ,10,2167
F,other,10,2230
M,2pm     ,10,2179
F,9am,NA,
M,other,27,1258
M,9am,25,1478
F,8am,15,1853
F,2pm     ,70,292
M,2pm     ,30,1454
F,8am,18,1686
M,2pm     ,NA,
F,8am,4,3031
F,10am,NA,
F,8am,20,1670
M,11am,NA,
F,11am,20,1589
F,9am,10,2121
F,8am,NA,
F,9am,25,1525
M,10am,10,2258
F,8am,NA,
F,other,30,1299
M,8am,NA,
F,8am,7,2492
F,8am,10,2236
F,8am,20,1581
F,8am,61,699
F,8am,70,353
F,1pm     ,NA,
F,8am,NA,
M,8am,NA,
M,8am,20,1642
F,9am,NA,
F,8am,15,1924
F,8am,NA,
F,9am,NA,
F,10am,8,2429
F,9am,NA,
F,10am,5,2768
F,7am,10,2323
F,2pm     ,17,1685
M,2pm     ,NA,
F,2pm     ,25,1484
M,10am,NA,
M,8am,50,833
F,8am,15,2002
F,11am,NA,
F,7am,50,1010
F,7am,NA,
M,7am,NA,
F,1pm     ,5,2684
M,12pm,15,1825
M,7am,NA,
F,11am,10,2195
F,11am,NA,
F,9am,5,2856
F,11am,7,2640
F,10am,20,1631
M,7am,NA,
F,9am,NA,
F,9am,5,2768
F,other,NA,
F,8am,5,2854
F,9am,NA,
M,9am,10,2117
M,7am,25,1455
F,10am,30,1434
F,7am,10,2303
M,8am,20,1565
M,8am,40,1040
F,7am,5,2930
M,12pm,5,2843
M,8am,8,2397
F,8am,20,1604
F,2pm     ,20,1707
M,7am,15,1713
F,10am,32,1244
F,10am,8,2431
M,10am,15,1899
F,10am,5,2711
F,8am,NA,
M,8am,NA,
F,other,10,2262
M,8am,NA,
F,8am,15,1905
F,9am,50,948
F,9am,NA,
F,8am,10,2255
F,12pm,NA,
